ID REF;LÍNEA;PRODUCTO;P. CONTADO;P. DIGITAL (QR)
SC-061;INDUSTRIAL;EPSON SURECOLOR R5070L PRODUCTION EDITION;U$D 31.390;U$D 32.690
SC-062;INDUSTRIAL;EPSON SURECOLOR R5070L PRODUCTION EDITION PRECIO ESPECIAL;U$D 29.790;U$D 31.090
SC-063;INDUSTRIAL;EPSON SURECOLOR V7000 UV FLATBED;U$D 108.590;U$D 113.190
SC-064;INDUSTRIAL;SC-V7000 LARGE FORMAT INKJET PRINTER;U$D 83.590;U$D 87.090
SC-065;ACCESORIOS;HEAD INSTALLATION KIT FOR SC-V7000SERIES;Gs. 145.890.000;Gs. 151.990.000
SC-066;INDUSTRIAL;DOCUMENT PACK FOR SC-V7000 SERIES;U$D 2.190;U$D 2.290
SC-067;COMERCIAL;SIGNAGE SURECOLOR V1070 A4 PRECIO DE LISTA SOL CONTROL 2025 DIC CON EL 5%;Gs. 69.090.000;Gs. 71.990.000
SC-068;COMERCIAL;SIGNAGE SURECOLOR V1070 A4;Gs. 66.490.000;Gs. 69.290.000
SC-070;COMERCIAL;SURECOLOR T3170;Gs. 7.490.000;Gs. 7.890.000
SC-071;COMERCIAL;SURECOLOR T3170X;Gs. 17.490.000;Gs. 18.290.000
SC-072;COMERCIAL;SURECOLOR T3170M;Gs. 17.590.000;Gs. 18.390.000
SC-073;INDUSTRIAL;SURECOLOR T3770E SINGLE ROLL 24;U$D 4.890;U$D 5.090
SC-074;INDUSTRIAL;SURECOLOR T3770DE DUAL ROLL 24;U$D 5.890;U$D 6.190
SC-075;INDUSTRIAL;SURECOLOR T3770D DUAL ROLL 24 PS;U$D 6.790;U$D 7.090
SC-076;INDUSTRIAL;SURECOLOR T5170;U$D 3.190;U$D 3.390
SC-077;INDUSTRIAL;SURECOLOR T5170M;U$D 5.390;U$D 5.690
SC-078;INDUSTRIAL;SURECOLOR T7770D 44;U$D 8.390;U$D 8.790
SC-079;INDUSTRIAL;SURECOLOR T7770DL 44 INK BAG PS;U$D 11.890;U$D 12.390
SC-080;INDUSTRIAL;SURECOLOR T5475;U$D 3.390;U$D 3.590
SC-081;INDUSTRIAL;SURECOLOR T5470M;U$D 6.090;U$D 6.390
SC-082;INDUSTRIAL;SURECOLOR T5770D 36;U$D 7.190;U$D 7.490
SC-083;INDUSTRIAL;SURECOLOR T5770DM DUAL ROLL MFP 36;U$D 13.290;U$D 13.890
SC-084;INDUSTRIAL;"SCT5475SR SURECOLOR 36""";U$D 3.490;U$D 3.690
SC-085;INDUSTRIAL;SURECOLOR F570;U$D 2.690;U$D 2.890
SC-086;COMERCIAL;SURECOLOR F1070;Gs. 54.690.000;Gs. 56.990.000
SC-087;COMERCIAL;SURECOLOR F1070 + HORNO DTF A3;Gs. 58.590.000;Gs. 61.090.000
SC-088;INDUSTRIAL;SURECOLOR  F6470 PRINTER WITH STAND & TAKEUP REEL SIN IVA;U$D 7.690;U$D 8.090
SC-089;INDUSTRIAL;SURECOLOR  F6470 PRINTER WITH STAND & TAKEUP REEL (NO INITIAL INK/UGK);U$D 9.390;U$D 9.790
SC-090;INDUSTRIAL;SURECOLOR  F6470H PRINTER WITH STAND & TAKEUP REEL (NO INITIAL INK/UGK);U$D 9.390;U$D 9.790
SC-091;INSUMOS;KIT INICIACION F6470;Gs. 4.190.000;Gs. 4.390.000
SC-092;INDUSTRIAL;SURECOLOR F6470 IVA Y KIT;U$D 10.090;U$D 10.590
SC-093;INDUSTRIAL;F6470 + KIT SIN IVA;U$D 9.590;U$D 9.990
SC-094;INDUSTRIAL;SURECOLOR F3070 BASE UNIT;U$D 70.090;U$D 73.090
SC-095;INDUSTRIAL;SURECOLOR F9470 PRODUCTION EDITION;U$D 27.390;U$D 28.590
SC-096;INDUSTRIAL;SURECOLOR F9470 PRODUCTION EDITION;U$D 31.790;U$D 33.190
SC-097;INDUSTRIAL;SCF9570PE - F9570 PROMO MUNDIAL (SIN TINTAS);U$D 30.790;U$D 32.090
SC-098;INDUSTRIAL;SCF9570HPE - F9570H CON IVA;U$D 30.790;U$D 32.090
SC-099;INDUSTRIAL;SURECOLOR F10070H BASE PRINTER FOR LATIN AMERICA;U$D 112.890;U$D 117.590
SC-100;INDUSTRIAL;SURECOLOR F10070H OPT HEATER ROLL INK SYSTEM;U$D 14.990;U$D 15.690
SC-101;INDUSTRIAL;SURECOLOR F2270 DIRECT TO GARMENT;U$D 18.990;U$D 19.790
SC-102;INSUMOS;TINTA F6470  POR CAJA UNA CAJA TRAE 2 DEL MISMO COLOR;Gs. 1.890.000;Gs. 1.990.000
SC-103;INSUMOS;CAJA F170 DE MANTENIMIENTO;Gs. 179.000;Gs. 189.000
SC-104;INSUMOS;CAJA F570 DE MANTENIMIENTO;Gs. 339.000;Gs. 359.000
SC-105;INSUMOS;TINTA F170 O F570 DE 140ML COLORES CY;Gs. 159.000;Gs. 169.000
SC-106;INSUMOS;ROLLO F570 PAPEL 30 METROS EPSON;Gs. 229.000;Gs. 239.000
SC-107;INSUMOS;TINTA EPSON F6200;Gs. 3.590.000;Gs. 3.790.000
SC-108;INSUMOS;TINTA EPSON F F6370 CAJA 6 UNIDADES;Gs. 4.590.000;Gs. 4.790.000
SC-109;INDUSTRIAL;SCG6070SE - G6070 CON IVA;U$D 11.290;U$D 11.790
SC-110;INDUSTRIAL;SCF9570PE - F9570 CON IVA PROMO;U$D 24.190;U$D 25.190
SC-112;INDUSTRIAL;SCF9570PE - F9570 CON IVA;U$D 28.190;U$D 29.390
SC-113;INDUSTRIAL;SCF9570HPE - F9570H SIN IVA;U$D 28.290;U$D 29.490
