CODIGO;CATEGORIA;NOMBRE_PRODUCTO;PROVEEDOR;LINEA_VENTA;MONEDA;P_CONTADO;P_DIGITAL_QR;ESTADO;NOTAS
CMB-COM-006;COMBOS;COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1 + GRABADORA LASER 10W;Sol Control;COMERCIAL;GS;8990000;9390000;ACTIVO;
CMB-COM-007;COMBOS;COMBO: IMPRESORA EPSON F170 + SCANCUT SDX125 + PRENSA 8 EN 1;Sol Control;COMERCIAL;GS;7990000;8290000;ACTIVO;
CMB-COM-008;COMBOS;COMBO: IMPRESORA EPSON L121 + PRENSA 8 EN 1;Sol Control;COMERCIAL;GS;3290000;3490000;ACTIVO;
CMB-COM-009;COMBOS;COMBO: IMPRESORA EPSON L1250 + BORDADORA NV970LPA + PRENSA 8 EN 1;Sol Control;COMERCIAL;GS;9390000;9690000;ACTIVO;
CMB-COM-010;COMBOS;COMBO: IMPRESORA EPSON L1250 + CAMEO 5 + GRABADORA LASER 10W;Sol Control;COMERCIAL;GS;8290000;8690000;ACTIVO;
CMB-COM-011;COMBOS;COMBO: IMPRESORA EPSON L1250 + PRENSA 8 EN 1;Sol Control;COMERCIAL;GS;3690000;3890000;ACTIVO;
CMB-COM-012;COMBOS;COMBO: SCANCUT SDX125 + PRENSA TERMICA 38X38;Sol Control;COMERCIAL;GS;4990000;5190000;ACTIVO;
CMB-COM-013;COMBOS;COMBO: IMPRESORA EPSON F170 + CAMEO 5 + GRABADORA LASER 10W;Sol Control;COMERCIAL;GS;9690000;10090000;ACTIVO;
CMB-COM-014;COMBOS;COMBO: IMPRESORA EPSON F170 + PRENSA 11 EN 1;Sol Control;COMERCIAL;GS;6390000;6590000;ACTIVO;
CMB-COM-015;COMBOS;COMBO: IMPRESORA EPSON L1250 + PRENSA TAZA 11 OZ;Sol Control;COMERCIAL;GS;1790000;1890000;ACTIVO;
CMB-COM-016;COMBOS;COMBO: IMPRESORA EPSON L121 + PRENSA 11 EN 1;Sol Control;COMERCIAL;GS;4590000;4790000;ACTIVO;
CMB-COM-017;COMBOS;COMBO: IMPRESORA EPSON L1250 + PRENSA 11 EN 1;Sol Control;COMERCIAL;GS;5190000;5390000;ACTIVO;
CMB-COM-018;COMBOS;COMBO: IMPRESORA EPSON F170 + PRENSA 15 EN 1;Sol Control;COMERCIAL;GS;6690000;6990000;ACTIVO;
CMB-COM-019;COMBOS;COMBO: IMPRESORA EPSON L121 + PRENSA 15 EN 1;Sol Control;COMERCIAL;GS;5290000;5490000;ACTIVO;
CMB-COM-020;COMBOS;COMBO: IMPRESORA EPSON L1250 + PRENSA 15 EN 1;Sol Control;COMERCIAL;GS;5790000;5990000;ACTIVO;
CMB-COM-021;COMBOS;COMBO: IMPRESORA EPSON L121 + PRENSA 8 EN 1 + CAMEO 5;Sol Control;COMERCIAL;GS;6390000;6690000;ACTIVO;
CMB-COM-022;COMBOS;COMBO: IMPRESORA EPSON L1250 + PRENSA 8 EN 1 + CAMEO 5;Sol Control;COMERCIAL;GS;6890000;7190000;ACTIVO;
CMB-COM-023;COMBOS;COMBO: GRABADORA LASER 10W + PATITAS BASE + EJE ROTATIVO + COMPRESOR + BASE PANAL 45X45;Sol Control;COMERCIAL;GS;5990000;6290000;ACTIVO;
IMPO-IND-001;IMPORTACIONES;HORNO TUCANO DTF 90CM FOB IMPORTACION DIRECTA;Importacion SOLPRO;INDUSTRIAL;USD;0;0;SIN_PRECIO;Importacion directa SOLPRO - requiere precio FOB + aranceles
