CODIGO,NOMBRE_PRODUCTO,CATEGORIA,LINEA,PROVEEDOR,MONEDA,COSTO,ESTADO,NOTAS
SC-087,SURECOLOR F1070 + HORNO DTF A3,IMPRESORAS,COMERCIAL,Sol Control,USD,7046.1,ACTIVO,
SC-088,SURECOLOR  F6470 PRINTER WITH STAND & TAKEUP REEL SIN IVA,SURECOLOR,INDUSTRIAL,Sol Control,USD,5900.0,ACTIVO,
SC-089,SURECOLOR  F6470 PRINTER WITH STAND & TAKEUP REEL (NO INITIAL INK/UGK),SURECOLOR,INDUSTRIAL,Sol Control,USD,7176.0,ACTIVO,
SC-090,SURECOLOR  F6470H PRINTER WITH STAND & TAKEUP REEL (NO INITIAL INK/UGK),SURECOLOR,INDUSTRIAL,Sol Control,USD,7200.09,ACTIVO,
SC-091,KIT INICIACION F6470,TINTAS/CONSUMIBLES,INSUMOS,Sol Control,USD,502.6,ACTIVO,
SC-092,SURECOLOR F6470 IVA Y KIT,SURECOLOR,INDUSTRIAL,Sol Control,USD,7702.7,ACTIVO,
SC-093,F6470 + KIT SIN IVA,SURECOLOR,INDUSTRIAL,Sol Control,USD,7352.0,ACTIVO,
SC-094,SURECOLOR F3070 BASE UNIT,SURECOLOR,INDUSTRIAL,Sol Control,USD,53976.54,ACTIVO,
SC-095,SURECOLOR F9470 PRODUCTION EDITION,SURECOLOR,INDUSTRIAL,Sol Control,USD,21090.0,ACTIVO,
SC-096,SURECOLOR F9470 PRODUCTION EDITION,SURECOLOR,INDUSTRIAL,Sol Control,USD,24437.16,ACTIVO,
SC-097,SCF9570PE - F9570 CON IVA,SURECOLOR,INDUSTRIAL,Sol Control,USD,23674.3,ACTIVO,
SC-098,SCF9570HPE - F9570H CON IVA,SURECOLOR,INDUSTRIAL,Sol Control,USD,23691.27,ACTIVO,
SC-099,SURECOLOR F10070H BASE PRINTER FOR LATIN AMERICA,SURECOLOR,INDUSTRIAL,Sol Control,USD,86881.66,ACTIVO,
SC-100,SURECOLOR F10070H OPT HEATER ROLL INK SYSTEM,SURECOLOR,INDUSTRIAL,Sol Control,USD,11507.04,ACTIVO,
SC-101,SURECOLOR F2270 DIRECT TO GARMENT,SURECOLOR,INDUSTRIAL,Sol Control,USD,14574.25,ACTIVO,
SC-102,TINTA F6470  POR CAJA UNA CAJA TRAE 2 DEL MISMO COLOR,TINTAS/CONSUMIBLES,INSUMOS,Sol Control,USD,227.05,ACTIVO,
SC-103,CAJA F170 DE MANTENIMIENTO,TINTAS/CONSUMIBLES,INSUMOS,Sol Control,USD,21.0,ACTIVO,
SC-104,CAJA F570 DE MANTENIMIENTO,TINTAS/CONSUMIBLES,INSUMOS,Sol Control,USD,40.0,ACTIVO,
SC-106,ROLLO F570 PAPEL 30 METROS EPSON,TINTAS/CONSUMIBLES,INSUMOS,Sol Control,USD,26.6,ACTIVO,
SC-109,SCG6070SE - G6070 CON IVA,SURECOLOR,INDUSTRIAL,Sol Control,USD,8629.0,ACTIVO,
SC-110,SCF9570PE - F9570 CON IVA PROMO,SURECOLOR,INDUSTRIAL,Sol Control,USD,18617.0,ACTIVO,
SC-112,SCF9570PE - F9570 CON IVA,SURECOLOR,INDUSTRIAL,Sol Control,USD,21701.45,ACTIVO,
SC-113,SCF9570HPE - F9570H SIN IVA,SURECOLOR,INDUSTRIAL,Sol Control,USD,21717.0,ACTIVO,
SC-114,EPSON SURECOLOR F11070,SURECOLOR,INDUSTRIAL,Sol Control,USD,101962.0,ACTIVO,
SC-115,EPSON SURECOLOR F11070 MEJORADO 3 UNIDADES,SURECOLOR,INDUSTRIAL,Sol Control,USD,83982.54,ACTIVO,
TC-001,PRENSA TERMICA 60X40,IMPRESORAS,COMERCIAL,Todo Costura,GS,2000000.0,ACTIVO,
