Nombre,ID_Ref,Proveedor,Linea,Costo_Compra,Moneda_Costo,Margen_Pct
SURECOLOR T3770DE DUAL ROLL 24,SC-074,Sol Control,INDUSTRIAL,4536.65,USD,23.0
SURECOLOR T3770D DUAL ROLL 24 PS,SC-075,Sol Control,INDUSTRIAL,5159.54,USD,23.0
SURECOLOR T5170,SC-076,Sol Control,INDUSTRIAL,2405.53,USD,23.0
SURECOLOR T5170M,SC-077,Sol Control,INDUSTRIAL,4082.1,USD,23.0
SURECOLOR T7770D 44,SC-078,Sol Control,INDUSTRIAL,6422.12,USD,23.0
SURECOLOR T7770DL 44 INK BAG PS,SC-079,Sol Control,INDUSTRIAL,9138.32,USD,23.0
SURECOLOR T5475,SC-080,Sol Control,INDUSTRIAL,2579.1,USD,23.0
SURECOLOR T5470M,SC-081,Sol Control,INDUSTRIAL,4628.0,USD,23.0
SURECOLOR T5770D 36,SC-082,Sol Control,INDUSTRIAL,5539.65,USD,23.0
SURECOLOR T5770DM DUAL ROLL MFP 36,SC-083,Sol Control,INDUSTRIAL,10189.01,USD,23.0
"SCT5475SR SURECOLOR 36""",SC-084,Sol Control,INDUSTRIAL,2632.0,USD,23.0
SURECOLOR F570,SC-085,Sol Control,INDUSTRIAL,2055.59,USD,23.0
SURECOLOR F1070,SC-086,Sol Control,COMERCIAL,6571.1,USD,23.0
SURECOLOR F1070 + HORNO DTF A3,SC-087,Sol Control,COMERCIAL,7046.1,USD,23.0
SURECOLOR  F6470 PRINTER WITH STAND & TAKEUP REEL SIN IVA,SC-088,Sol Control,INDUSTRIAL,5900.0,USD,23.0
SURECOLOR  F6470 PRINTER WITH STAND & TAKEUP REEL (NO INITIAL INK/UGK),SC-089,Sol Control,INDUSTRIAL,7176.0,USD,23.0
SURECOLOR  F6470H PRINTER WITH STAND & TAKEUP REEL (NO INITIAL INK/UGK),SC-090,Sol Control,INDUSTRIAL,7200.09,USD,23.0
KIT INICIACION F6470,SC-091,Sol Control,INSUMOS,502.6,USD,23.0
SURECOLOR F6470 IVA Y KIT,SC-092,Sol Control,INDUSTRIAL,7702.7,USD,23.0
F6470 + KIT SIN IVA,SC-093,Sol Control,INDUSTRIAL,7352.0,USD,23.0
SURECOLOR F3070 BASE UNIT,SC-094,Sol Control,INDUSTRIAL,53976.54,USD,23.0
SURECOLOR F9470 PRODUCTION EDITION,SC-095,Sol Control,INDUSTRIAL,21090.0,USD,23.0
SURECOLOR F9470 PRODUCTION EDITION,SC-096,Sol Control,INDUSTRIAL,24437.16,USD,23.0
SCF9570PE - F9570 PROMO MUNDIAL (SIN TINTAS),SC-097,Sol Control,INDUSTRIAL,23674.3,USD,23.0
SCF9570HPE - F9570H CON IVA,SC-098,Sol Control,INDUSTRIAL,23691.27,USD,23.0
SURECOLOR F10070H BASE PRINTER FOR LATIN AMERICA,SC-099,Sol Control,INDUSTRIAL,86881.66,USD,23.0
SURECOLOR F10070H OPT HEATER ROLL INK SYSTEM,SC-100,Sol Control,INDUSTRIAL,11507.04,USD,23.0
SURECOLOR F2270 DIRECT TO GARMENT,SC-101,Sol Control,INDUSTRIAL,14574.25,USD,23.0
TINTA F6470  POR CAJA UNA CAJA TRAE 2 DEL MISMO COLOR,SC-102,Sol Control,INSUMOS,227.05,USD,23.0
CAJA F170 DE MANTENIMIENTO,SC-103,Sol Control,INSUMOS,21.0,USD,23.0
CAJA F570 DE MANTENIMIENTO,SC-104,Sol Control,INSUMOS,40.0,USD,23.0
TINTA F170 O F570 DE 140ML COLORES CY,SC-105,Sol Control,INSUMOS,18.5,USD,23.0
ROLLO F570 PAPEL 30 METROS EPSON,SC-106,Sol Control,INSUMOS,26.6,USD,23.0
TINTA EPSON F6200,SC-107,Sol Control,INSUMOS,429.4,USD,23.0
TINTA EPSON F F6370 CAJA 6 UNIDADES,SC-108,Sol Control,INSUMOS,541.5,USD,23.0
SCG6070SE - G6070 CON IVA,SC-109,Sol Control,INDUSTRIAL,8629.0,USD,23.0
SCF9570PE - F9570 CON IVA PROMO,SC-110,Sol Control,INDUSTRIAL,18617.0,USD,23.0
SCF9570PE - F9570 CON IVA,SC-112,Sol Control,INDUSTRIAL,21701.45,USD,23.0
SCF9570HPE - F9570H SIN IVA,SC-113,Sol Control,INDUSTRIAL,21717.0,USD,23.0
EPSON SURECOLOR F11070,SC-114,Sol Control,INDUSTRIAL,101962.0,USD,23.0
EPSON SURECOLOR F11070 MEJORADO 3 UNIDADES,SC-115,Sol Control,INDUSTRIAL,83982.54,USD,23.0
TINTA EPSON T890120 BLACK S40600,SC-116,Sol Control,INSUMOS,90.25,USD,23.0
TINTA EPSON T890220 CYAN S40600,SC-117,Sol Control,INSUMOS,90.25,USD,23.0
TINTA EPSON T890320 MAGENTA S40600,SC-118,Sol Control,INSUMOS,90.25,USD,23.0
TINTA EPSON T890420 YELLOW S40600,SC-119,Sol Control,INSUMOS,90.25,USD,23.0
TINTA EPSON T53K220 CYAN (F64/F95) - UNITARIO,SC-120,Sol Control,INSUMOS,113.53,USD,23.0
TINTA EPSON T53K920 HDK (F64/F95) - UNITARIO,SC-121,Sol Control,INSUMOS,113.53,USD,23.0
TINTA EPSON T53K420 YELLOW (F64/F95) - UNITARIO,SC-122,Sol Control,INSUMOS,113.53,USD,23.0
TINTA EPSON T53K320 MAGENTA (F64/F95) - UNITARIO,SC-123,Sol Control,INSUMOS,113.53,USD,23.0
TINTA EPSON T741220 CYAN (F62/F93) - UNITARIO,SC-124,Sol Control,INSUMOS,71.57,USD,23.0
TINTA EPSON T741120 HDK (F62/F93) - UNITARIO,SC-125,Sol Control,INSUMOS,71.57,USD,23.0
TINTA EPSON T741420 YELLOW (F62/F93) - UNITARIO,SC-126,Sol Control,INSUMOS,71.57,USD,23.0
TINTA EPSON T741320 MAGENTA (F62/F93) - UNITARIO,SC-127,Sol Control,INSUMOS,71.57,USD,23.0
TINTA EPSON T43M220 CYAN (F100/F110) - UNITARIO,SC-128,Sol Control,INSUMOS,415.63,USD,23.0
TINTA EPSON T43M120 HDK (F100/F110) - UNITARIO,SC-129,Sol Control,INSUMOS,415.63,USD,23.0
TINTA EPSON T43M420 YELLOW (F100/F110) - UNITARIO,SC-130,Sol Control,INSUMOS,415.63,USD,23.0
TINTA EPSON T43M320 MAGENTA (F100/F110) - UNITARIO,SC-131,Sol Control,INSUMOS,415.63,USD,23.0
TINTA EPSON T49M2 CYAN (F170/F570) - 140ML,SC-132,Sol Control,INSUMOS,18.5,USD,23.0
TINTA EPSON T49M1 BLACK (F170/F570) - 140ML,SC-133,Sol Control,INSUMOS,18.5,USD,23.0
TINTA EPSON T49M4 YELLOW (F170/F570) - 140ML,SC-134,Sol Control,INSUMOS,18.5,USD,23.0
TINTA EPSON T49M3 MAGENTA (F170/F570) - 140ML,SC-135,Sol Control,INSUMOS,18.5,USD,23.0
KIT DE LIMPIEZA DE CABEZAL F22/G60 C13S400216,SC-136,Sol Control,INSUMOS,0.0,GS,23.0
T46C420 YELLOW F63/F94,SC-138,Sol Control,INSUMOS,0.0,GS,23.0
T46C320 MAGENTA F63/F94,SC-139,Sol Control,INSUMOS,0.0,GS,23.0
T46C220 CYAN F63/F94,SC-140,Sol Control,INSUMOS,0.0,GS,23.0
T46C120 YHDK F63/F94,SC-141,Sol Control,INSUMOS,0.0,GS,23.0
PRENSA TERMICA 60X40,TC-001,Todo Costura,COMERCIAL,2000000.0,GS,23.0
