ID REF;PROVEEDOR;DESCRIPCIÓN / INSUMO
TC-041;Todo Costura;DOBLE BANDEJA
TC-042;Todo Costura;CALANDRA 1.7 ROLLO A ROLLO
TC-043;Todo Costura;CALANDRA 1.8
TC-044;Todo Costura;EPSON F570+100X80+MULTI+OVERLOCK+COLLARETA FLIAR
TC-045;Todo Costura;MAQUINA DE COSER RECTA IND WILPEX
TC-046;Todo Costura;MAQUIINA DE COSER OVERLOCK IND WILPEX
TC-047;Todo Costura;MAQUINA DE COSER COLLARETA IND WILPEX
CMB-001;solpro combo;L121+8EN1
CMB-002;solpro combo;L1250+8EN1
CMB-003;solpro combo;F170+8EN1
CMB-004;solpro combo;L121+11 EN 1
CMB-005;solpro combo;L1250+11 EN 1
CMB-006;solpro combo;F170+11 EN 1
CMB-007;solpro combo;L121+15 EN 1
CMB-008;solpro combo;L1250+15 EN 1
CMB-009;solpro combo;F170+15 EN 1
CMB-010;solpro combo;L121+8EN1+CAMEO 5
CMB-011;solpro combo;L1250+8EN1+CAMEO 5
CMB-012;solpro combo;F170+8EN1+CAMEO 5
CMB-013;solpro combo;L11250+PRENSA TAZAS 11 OZ
CMB-014;solpro combo;
CMB-015;solpro combo;
CMB-016;solpro combo;
CMB-017;solpro combo;
CMB-018;solpro combo;
CMB-019;solpro combo;
CMB-020;solpro combo;
CMB-021;solpro combo;
CMB-022;solpro combo;
CMB-023;solpro combo;
CMB-024;solpro combo;
CMB-025;solpro combo;
CMB-026;solpro combo;
CMB-027;solpro combo;
CMB-028;solpro combo;
CMB-029;solpro combo;
CMB-030;solpro combo;
CMB-031;solpro combo;
CMB-032;solpro combo;
CMB-033;solpro combo;
CMB-034;solpro combo;
CMB-035;solpro combo;
CMB-036;solpro combo;
CMB-037;solpro combo;
