Año;PRODUCTO;CANTIDAD
2023;IMP EPSON L14150 MULTIFUNCION WIR A3;3
2023;IMP EPSON PLOTER SCF6370PE STANDARD EDITION;6
2023;IMP EPSON PLOTER SCF6470PE SE + TINTAS;1
2023;IMP EPSON SURECOLOR F170 A4;28
2023;KIT DE LIMPIEZA DE CABEZAL C13S210063(F6370/F9370);1
2023;KIT DE MANTENIMIENTO C13S210125 SC-F170;26
2023;KIT EP LIMPIEZA CABEZAL C13S210063 (F6370/F9370);4
2023;KIT EP MAINTENANCE T04D100/L14150;1
2023;KIT EP MANTENIMIENTO C13S210057 (T3170/F570/F571);8
2023;KIT EP MANTENIMIENTO T699700 P9000 TANQUE;9
2023;"MOCHILA ARG-BP-0718BK 15.6"" ELEVATION NEGRA";2
2023;MOUSE HP 200 2HU84AA#ABL GRIS/NEGRO WIR;1
2023;"NB HP CI3 15-DY2061LA 1125G4/15.6""/8GB/256SD/W11/";1
2023;NB HP CI5 15-DY2054LA 1135G7/15/8GB/256SD+16GB/W11;1
2023;"PAPEL EPSON DS TRANSFER MULTIUSE 87GR 24"" x 100'";8
2023;PARLANTE VERBATIM 70229 MINI BLUETOOTH AZUL;1
2023;PARLANTE VERBATIM 70232 MINI BLUETOOTH BLANCO;1
2023;PEN DRIVE HP  32GB USB 2.0;1
2023;PROMO EPSON L1250 + TINTAS;2
2023;REP EP WIPER DE LIMPIEZA F2100 (C13S092001);5
2023;REP EP WIPER F9370 HEAD CLEANING KIT (C13S210051);12
2023;SMART WATCH ARG-WT-6050BK S50 NEGRO;1
2023;TANQUE EPSON PLOTER F6070 (T619300);1
2023;TECLADO LOGIT 920-004430 MK220 COMBO WIR;1
2023;TECLADO LOGIT 920-004432 MK270 COMBO WIR;1
2023;TINTA EP C13T43R100 KIT MANTENIMIENTO F2100WE;1
2023;TINTA EP F6070/F6200 T741220 CYAN ULTRACHROME;16
2023;TINTA EP F6070/F6200 T741320 MAGENTA ULTRACHROME;9
2023;TINTA EP F6070/F6200 T741420 AMARILLO ULTRACHROME;9
2023;TINTA EP F6200 T741X20 NEGRO ULTRACHROME;10
2023;TINTA EP F6370 T46C220 CYAN ULTRACHROME;61
2023;TINTA EP F6370 T46C320 MAGENTA ULTRACHROME;30
2023;TINTA EP F6370 T46C420 YELLOW ULTRACHROME;30
2023;TINTA EP F6370 T46C820 NEGRO ULTRACHROME;25
2023;TINTA EP F6470 T53K220 CYAN ULTRACHROME 2 X 1,6L;21
2023;TINTA EP F6470 T53K320 MAGENTA ULTRACHROME 2 X 1,6;10
2023;TINTA EP F6470 T53K420 YELLOW ULTRACHROME 2 X 1,6L;7
2023;TINTA EP F6470 T53K920 NEGRO ULTRACHROME 2 X 1,6L;10
2023;TINTA EP P9000 T699700 KIT DE MANTENIMIENTO TANQUE;38
2023;TINTA EP P9000 T804100 NEGRO ULTRACHROME 700 ML;6
2023;TINTA EP P9000 T804200 CYAN ULTRACHROME 700 ML;6
2023;TINTA EP P9000 T804300 MAGENTA ULTRACHROME 700;2
2023;TINTA EP P9000 T804300 MAGENTA ULTRACHROME 700 ML;6
2023;TINTA EP P9000 T804400 YELLOW ULTRACHROME 700 ML;8
2023;TINTA EP P9000 T804500 CYAN CLARO ULTRACHROME 700;6
2023;TINTA EP P9000 T804600 MAGENTA CLARO ULTRACHROME 7;8
2023;TINTA EP P9000 T804700 NEGRO CLARO ULTRACHROME 700;7
2023;TINTA EP P9000 T804A00 NARANJA ULTRACHROME 700 ML;5
2023;TINTA EP P9000 T804B00 VERDE ULTRACHROME 700 ML;4
2023;TINTA EP P9000 T804D00 VIOLETA ULTRACHROME 700 ML;5
2023;TINTA EP T49M120 F170/F570 ULTRA NEGRO 140ML;13
2023;TINTA EP T49M120 F170/F570 ULTRA NEGRO 140ML*;5
2023;TINTA EP T49M220 F170/F570 ULTRA CYAN 140ML;10
2023;TINTA EP T49M320 F170/F570 ULTRA MAGENTA 140ML;4
2023;TINTA EP T49M320 F170/F570 ULTRA MAGENTA 140ML*;7
2023;TINTA EP T49M420 F170/F570 ULTRA YELLOW 140ML;2
